,Sorted Json formula,Site,Distance,Element
613,"{""A"": {""Nd"": 0.3333, ""Tm"": 0.3333, ""Yb"": 0.3333}, ""B"": {""Si"": 1.0}, ""C"": {""O"": 1.0}}",A,0.10775317579799404,Nd
104,"{""A"": {""La"": 0.3333, ""Nd"": 0.3333, ""Pr"": 0.3333}, ""B"": {""Hf"": 0.5, ""Zr"": 0.5}, ""C"": {""O"": 1.0}}",A,0.10350367234228408,La
21,"{""A"": {""Mo"": 0.25, ""Nb"": 0.25, ""Ta"": 0.25, ""W"": 0.25}, ""B"": {""C"": 1.0}}",A,0.10275505368257754,W
515,"{""A"": {""Gd"": 0.3333, ""Y"": 0.3333, ""Yb"": 0.3333}, ""B"": {""Nb"": 1.0}, ""C"": {""O"": 1.0}}",A,0.10189000208709242,Yb
110,"{""A"": {""Eu"": 0.3333, ""Gd"": 0.3333, ""Sm"": 0.3333}, ""B"": {""Hf"": 0.0833, ""Sn"": 0.0833, ""Ti"": 0.75, ""Zr"": 0.0833}, ""C"": {""O"": 1.0}}",A,0.09376069718995717,Eu
106,"{""A"": {""Eu"": 0.3333, ""Gd"": 0.3333, ""Sm"": 0.3333}, ""B"": {""Hf"": 0.3333, ""Sn"": 0.3333, ""Zr"": 0.3333}, ""C"": {""O"": 1.0}}",A,0.09376069718995717,Eu
105,"{""A"": {""Eu"": 0.3333, ""Gd"": 0.3333, ""Sm"": 0.3333}, ""B"": {""Hf"": 0.5, ""Zr"": 0.5}, ""C"": {""O"": 1.0}}",A,0.09376069718995717,Eu
109,"{""A"": {""Eu"": 0.3333, ""Gd"": 0.3333, ""Sm"": 0.3333}, ""B"": {""Hf"": 0.1667, ""Sn"": 0.1667, ""Ti"": 0.5, ""Zr"": 0.1667}, ""C"": {""O"": 1.0}}",A,0.09376069718995717,Eu
111,"{""A"": {""Eu"": 0.3333, ""Gd"": 0.3333, ""Sm"": 0.3333}, ""B"": {""Ti"": 1.0}, ""C"": {""O"": 1.0}}",A,0.09376069718995717,Eu
639,"{""A"": {""Er"": 0.3333, ""Ho"": 0.3333, ""Yb"": 0.3333}, ""B"": {""Si"": 1.0}, ""C"": {""O"": 1.0}}",A,0.07490534505583979,Ho
